,label,message,msg_new
0,0,商业秘密的秘密性那是维系其商业价值和垄断地位的前提条件之一,商业秘密 的 秘密性 那 是 维系 其 商业价值 和 垄断 地位 的 前提条件 之一
1,1,南口阿玛施新春第一批限量春装到店啦         春暖花开淑女裙、冰蓝色公主衫   气质粉小西装、冰丝女王长半裙、   皇,南口 阿玛施 新春 第一批 限量 春装 到 店 啦                      春暖花开 淑女 裙 、 冰 蓝色 公主 衫        气质 粉小 西装 、 冰丝 女王 长半裙 、        皇
2,0,带给我们大常州一场壮观的视觉盛宴,带给 我们 大 常州 一场 壮观 的 视觉 盛宴
3,0,有原因不明的泌尿系统结石等,有 原因 不明 的 泌尿系统 结石 等
4,0,23年从盐城拉回来的麻麻的嫁妆,23 年 从 盐城 拉回来 的 麻麻 的 嫁妆
5,0,感到自减肥、跳减肥健美操、,感到 自 减肥 、 跳 减肥 健美操 、
6,1,感谢致电杭州萧山全金釜韩国烧烤店，本店位于金城路xxx号。韩式烧烤等，价格实惠、欢迎惠顾【全金釜韩国烧烤店】,感谢 致电 杭州 萧山 全金 釜 韩国 烧烤店 ， 本店 位于 金城 路 xxx 号 。 韩式 烧烤 等 ， 价格 实惠 、 欢迎惠顾 【 全金 釜 韩国 烧烤店 】
7,0,这款UVe智能杀菌机器人是扫地机的最佳伴侣,这款 UVe 智能 杀菌 机器人 是 扫地机 的 最佳 伴侣
8,1,一次价值xxx元王牌项目；可充值xxx元店内项目卡一张；可以参与V动好生活百分百抽奖机会一次！预约电话：xxxxxxxxxxx,一次 价值 xxx 元 王牌 项目 ； 可 充值 xxx 元店 内 项目 卡 一张 ； 可以 参与 V 动好 生活 百分百 抽奖 机会 一次 ！ 预约 电话 ： xxxxxxxxxxx
9,0,此类皮肤特别容易招惹粉刺、黑头等,此类 皮肤 特别 容易 招惹 粉刺 、 黑头 等
10,0,乌兰察布丰镇市法院成立爱心救助基金,乌兰察布 丰镇市 法院 成立 爱心 救助 基金
11,1,(长期诚信在本市作各类资格职称（以及印 /章、牌、 ……等。祥：x x x x x x x x x x x 李伟%,( 长期 诚信 在 本市 作 各类 资格 职称 （ 以及 印   / 章 、 牌 、   … … 等 。 祥 ： x   x   x   x   x   x   x   x   x   x   x   李伟 %
12,1,《依林美容》三．八．女人节倾情大放送活动开始啦！！！！超值套餐等你拿，活动时间x月x日一x月xx日，     详情进店咨询。美丽热线x,《 依林 美容 》 三 ． 八 ． 女人 节 倾情 大放送 活动 开始 啦 ！ ！ ！ ！ 超值 套餐 等你拿 ， 活动 时间 x 月 x 日 一 x 月 xx 日 ，           详情 进店 咨询 。 美丽 热线 x
13,0,品牌墙/文化墙设计参考,品牌 墙 / 文化 墙 设计 参考
14,0,苏州和无锡两地警方成功破获了一起劫持女车主的案件,苏州 和 无锡 两地 警方 成功 破获 了 一起 劫持 女 车主 的 案件
15,0,自然之友苏州小组今日下午按原计划举办小组读书活动暨“我为城市量体温”启动仪式,自然 之友 苏州 小组 今日 下午 按原 计划 举办 小组 读书 活动 暨 “ 我 为 城市 量体温 ” 启动 仪式
16,0,共查扣违法三轮车304辆、残疾证23本,共 查扣 违法 三轮车 304 辆 、 残疾证 23 本
17,0,扬州公司工作人员正在扬州瓜洲镇境内,扬州 公司 工作人员 正在 扬州 瓜洲镇 境内
18,0,而我不愿意将就~今天调研团的小伙伴们来到了丁莲芳生产基地,而 我 不 愿意 将 就 ~ 今天 调研 团 的 小伙伴 们 来到 了 丁莲芳 生产 基地
19,0,任何职业的entrylevel都是最简单枯燥的重复,任何 职业 的 entrylevel 都 是 最 简单 枯燥 的 重复
20,1,红都百货x楼婷美专柜x.x节活动火热进行中。一年仅一次的最大活动力度！充值送：充xxx送xxxxxxx送xxxxxxx送xxxxxxx送xxxxxxxx送xxxx时间：x.xx-x.x日。欢迎各位美女们前来选购！,红 都 百货 x 楼 婷美 专柜 x . x 节 活动 火热 进行 中 。 一年 仅 一次 的 最大 活动 力度 ！ 充值 送 ： 充 xxx 送 xxxxxxx 送 xxxxxxx 送 xxxxxxx 送 xxxxxxxx 送 xxxx 时间 ： x . xx - x . x 日 。 欢迎 各位 美女 们 前来 选购 ！
21,0,有效服务和保障?“一带一路”建设的顺利实施,有效 服务 和 保障 ? “ 一带 一路 ” 建设 的 顺利 实施
22,0,等我们音箱来了手鼓来了往观光园跑,等 我们 音箱 来 了 手鼓 来 了 往 观光 园跑
23,1,您好，渤海银行双节理财xxx天收益x%五万起，三月十号起息，只能柜台购买，数量有限欲购从速！渤海银行祁新星。,您好 ， 渤海 银行 双节 理财 xxx 天 收益 x% 五万 起 ， 三月 十号 起息 ， 只能 柜台 购买 ， 数量 有限 欲购从速 ！ 渤海 银行 祁 新星 。
24,0,predictionio去不了了,predictionio 去 不了 了
25,0,为什么一层楼那么多个LudovicStephaneCéline姓又不知道是什么鬼随便抓两个字母就是姓吗,为什么 一层楼 那么 多个 LudovicStephaneC é line 姓 又 不 知道 是 什么 鬼 随便 抓 两个 字母 就是 姓 吗
26,0,南京下暴雨我在四川享受完美阳光,南京 下 暴雨 我 在 四川 享受 完美 阳光
27,0,泛亚400亿资金被抽离或挪用,泛亚 400 亿 资金 被 抽离 或 挪用
28,0,110嘛前几天我已经举报过的官博又开始逼死同人了,110 嘛 前 几天 我 已经 举报 过 的 官博 又 开始 逼死 同人 了
29,0,每天晚上拿着手机不断刷微博朋友圈而不愿意早早睡觉这是种病得治,每天晚上 拿 着 手机 不断 刷 微博 朋友圈 而 不 愿意 早早 睡觉 这 是 种 病得治
30,0,军工+改革长春一东、军工+改革+体育际华集团、两市精神图腾+次新股龙头光力科技、高送转+次新股浙江金科、次新股+猪肉仙坛股份,军工 + 改革 长春 一东 、 军工 + 改革 + 体育 际华 集团 、 两市 精神 图腾 + 次新股 龙头 光力 科技 、 高送 转 + 次新股 浙江 金科 、 次新股 + 猪肉 仙坛 股份
31,0,保卫他们强奸你全家的权利,保卫 他们 强奸 你 全家 的 权利
32,0,美职篮自由球员谈判期x日开启,美职篮 自由 球员 谈判 期 x 日 开启
33,0,天天都是蓝猫飞机敌法海象,天天 都 是 蓝猫 飞机 敌法 海象
34,0,移动登录可领取xxx～xxxx积分,移动 登录 可 领取 xxx ～ xxxx 积分
35,0,晶体全净无暇颜色漂亮xxmm,晶体 全净 无暇 颜色 漂亮 xxmm
36,0,最好的距离是30到70公里之间,最好 的 距离 是 30 到 70 公里 之间
37,0,不要拦着我买腾讯的好莱坞会员,不要 拦着 我 买 腾讯 的 好莱坞 会员
38,0,这意味着用户可将MicrosoftEdge浏览器的默认搜索引擎设置为Google,这 意味着 用户 可 将 MicrosoftEdge 浏览器 的 默认 搜索引擎 设置 为 Google
39,0,并以服务的形式提供Windows,并 以 服务 的 形式 提供 Windows
40,0,　　有图有真相哦~~~　　,　 　 有图 有 真相 哦 ~ ~ ~ 　 　
41,0,然后走了一个半地铁站的距离,然后 走 了 一个半 地铁站 的 距离
42,0,碧池放开爹的手机好吗人不能那么不要脸好吗,碧池 放开 爹 的 手机 好 吗 人 不能 那么 不要脸 好 吗
43,0,关于徐州彭祖园动物园闭园升级改造的公告,关于 徐州 彭祖 园 动物园 闭园 升级 改造 的 公告
44,0,是大姑娘了要一点一点成熟起来要坚强更要勇敢的面对一切好与坏,是 大姑娘 了 要 一点一点 成熟 起来 要 坚强 更要 勇敢 的 面对 一切 好 与 坏
45,0,南靖消防、公安、武警等部门先后赶到现场,南靖 消防 、 公安 、 武警 等 部门 先后 赶到 现场
46,0,CancerNetwork总结了几个具体癌种与饮酒的关系,CancerNetwork 总结 了 几个 具体 癌种 与 饮酒 的 关系
47,0,万科物业管理人员一个一个敲门,万科 物业管理 人员 一个 一个 敲门
48,0,先百度一下人工剥离胎盘是啥吧……有些过程之恐怖,先 百度 一下 人工 剥离 胎盘 是 啥 吧 … … 有些 过程 之 恐怖
49,0,4、根据事情的重要程度安排时间5、用20天养成想要的习惯,4 、 根据 事情 的 重要 程度 安排 时间 5 、 用 20 天 养成 想要 的 习惯
50,0,以考完买部一加二为目标撑到了高考结束,以考 完买部 一加二为 目标 撑 到 了 高考 结束
51,0,现在网吧的电脑都升级了环境也更好了,现在 网吧 的 电脑 都 升级 了 环境 也 更好 了
52,0,实拍香港男子地铁大骂内地母女,实拍 香港 男子 地铁 大骂 内地 母女
53,1,尊敬的贵宾您好！金桥足道x月x日正常营业！xxxx年与邢博士强强联手！更新大批技师团队！形象好，气质佳，手法一流，包您满意！电话xxx,尊敬 的 贵宾 您好 ！ 金桥 足道 x 月 x 日 正常 营业 ！ xxxx 年 与 邢 博士 强强 联手 ！ 更新 大批 技师 团队 ！ 形象 好 ， 气质佳 ， 手法 一流 ， 包 您 满意 ！ 电话 xxx
54,0,希望你们能懂我视你们如珍宝不容被欺不容被辱世间的不公对你们恶意相向而你们终将会如同凤凰一般洗尽污秽涅槃重生闪耀于这世间,希望 你们 能 懂 我视 你们 如 珍宝 不容 被 欺 不容 被辱 世间 的 不公 对 你们 恶意 相向 而 你们 终将 会 如同 凤凰 一般 洗尽 污秽 涅槃 重生 闪耀 于 这 世间
55,0,他们应该采用城管版或者银行版,他们 应该 采用 城管 版 或者 银行 版
56,0,奉贤法院公开开庭审理了一起因索要分手费而引发的刑案,奉贤 法院 公开 开庭审理 了 一起 因 索要 分手 费而 引发 的 刑案
57,0,妈妈很有耐心的拿pad给他放歌和玩耍,妈妈 很 有 耐心 的 拿 pad 给 他 放歌 和 玩耍
58,0,也挺愿意继续看下去的/色…………但是到了晚上,也 挺 愿意 继续 看 下去 的 / 色 … … … … 但是 到 了 晚上
59,1,x月x日吃熟食不要钱？当天用淘点点吃多少返多少 最高返xx元红包 留夫鸭巨峰路欢迎选购！ 外送 xxxxxxxxxxx 地址 巨峰路x,x 月 x 日 吃 熟食 不要 钱 ？ 当天 用 淘 点点 吃 多少 返 多少   最高 返 xx 元 红包   留夫 鸭 巨峰 路 欢迎 选购 ！   外送   xxxxxxxxxxx   地址   巨峰 路 x
60,0,这个来自日本的设计就充分体现了折叠的种种优点,这个 来自 日本 的 设计 就 充分体现 了 折叠 的 种种 优点
61,1,丝宇名妆（国际）美业 顺城店庆祝三八妇女节暨x月xx日消费者权益日回馈老顾客优惠活动内容如下；x.充值优惠活动充值xxxx送xxx,丝宇 名妆 （ 国际 ） 美业   顺城店 庆祝 三八妇女节 暨 x 月 xx 日 消费者 权益日 回馈 老 顾客 优惠活动 内容 如下 ； x . 充值 优惠活动 充值 xxxx 送 xxx
62,0,我从张喜的医疗纠纷胜诉中看到了什么,我 从 张喜 的 医疗纠纷 胜诉 中 看到 了 什么
63,0,杭州的千岛湖似乎商业化浓了点,杭州 的 千岛湖 似乎 商业化 浓 了 点
64,0,腾讯和网易都是国内互联网产品做得比较精致的公司,腾讯 和 网易 都 是 国内 互联网 产品 做 得 比较 精致 的 公司
65,0,做小三还要抢了个渣男哈哈哈哈哈哈哈哈哈哈,做 小 三 还要 抢 了 个 渣 男 哈哈哈哈 哈哈哈 哈哈哈
66,0,还是那句话我只推荐自己亲自服用过的东西具体心得体会看长微博～,还是 那句话 我 只 推荐 自己 亲自 服用 过 的 东西 具体 心得体会 看长 微博 ～
67,0,接着就可以赶一早的飞机去京都游魂了三天无聊的会议,接着 就 可以 赶 一早 的 飞机 去 京都 游魂 了 三天 无聊 的 会议
68,0,我刚刚用Nike+以xx'xx''/英里的速度跑了x,我 刚刚 用 Nike + 以 xx ' xx ' ' / 英里 的 速度 跑 了 x
69,0,现在推荐顶级文件去重工具「DuplicateCleanerPro」,现在 推荐 顶级 文件 去 重 工具 「 DuplicateCleanerPro 」
70,0,招远政府部门对这种生态环境的怎么看待,招远 政府部门 对 这种 生态环境 的 怎么 看待
71,0,因为：它是由三百朵新鲜玫瑰压榨而成,因为 ： 它 是 由 三百 朵 新鲜 玫瑰 压榨 而成
72,0,ZMZZ050两位民警帮助我们找回了遗失财物,ZMZZ050 两位 民警 帮助 我们 找回 了 遗失 财物
73,0,Gohealthy公司的产品保证纯天然,Gohealthy 公司 的 产品 保证 纯天然
74,0,使从粉刺发展为中度至重度痤疮,使 从 粉刺 发展 为 中度 至 重度 痤疮
